Method,Video,Episode,Chunk,Action,Bitrate_kbps,Throughput_kbps,Buffer_Before,Buffer_After,Rebuffer_s,VMAF,Smooth_Penalty,Step_QoE
Proposed,bigbuckbunny,4,20,1,750,902.0,19.47,16.66,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,4,21,1,750,901.2,16.66,17.61,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,4,22,1,750,900.6,17.61,18.11,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,4,23,1,750,902.1,18.11,20.07,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,4,24,1,750,901.1,20.07,19.35,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,4,25,1,750,899.4,19.35,21.44,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,4,26,1,750,823.2,21.44,23.43,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,4,27,1,750,901.4,23.43,25.13,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,4,28,1,750,901.5,25.13,25.22,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,4,29,1,750,900.7,25.22,27.57,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,4,30,1,750,899.6,27.57,29.43,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,4,31,1,750,902.2,29.43,30.0,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,4,32,1,750,900.9,30.0,29.03,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,4,33,1,750,894.7,29.03,30.0,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,4,34,1,750,901.3,30.0,29.97,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,4,35,1,750,902.2,29.97,30.0,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,4,36,1,750,901.0,30.0,26.48,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,4,37,1,750,901.0,26.48,26.75,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,4,38,1,750,901.5,26.75,26.4,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,4,39,1,750,871.6,26.4,25.77,0.0,83.73,0.0,83.73
