Method,Video,Episode,Chunk,Action,Applied_Action,Bitrate_kbps,Throughput_kbps,Buffer_Before,Buffer_After,Rebuffer_s,VMAF,Smooth_Penalty,Step_QoE,Shield_Intervened,Shield_Rate,Shield_Reason
Proposed_V13_Base,bigbuckbunny,3,39,1,1,750,1092.3,7.1,8.33,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,3,40,1,1,750,948.7,8.33,6.18,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,3,41,1,1,750,1176.1,6.18,8.09,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,3,42,1,1,750,954.2,8.09,8.46,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,3,43,2,2,1200,1010.0,8.46,10.04,0.0,90.34,6.61,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,3,44,2,2,1200,904.9,10.04,8.05,0.0,90.34,0.0,90.34,0,0.0,
Proposed_V13_Base,bigbuckbunny,3,45,2,2,1200,896.6,8.05,9.21,0.0,90.34,0.0,90.34,0,0.0,
Proposed_V13_Base,bigbuckbunny,3,46,2,2,1200,742.8,9.21,10.63,0.0,90.34,0.0,90.34,0,0.0,
Proposed_V13_Base,bigbuckbunny,3,47,2,2,1200,427.9,10.63,8.09,0.0,90.34,0.0,90.34,0,0.0,
Proposed_V13_Base,bigbuckbunny,4,0,1,1,750,891.0,1.78,4.0,4.48,83.73,0.0,64.46,0,0.0,
Proposed_V13_Base,bigbuckbunny,4,1,1,1,750,891.2,4.0,5.1,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,4,2,1,1,750,890.8,5.1,5.32,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,4,3,1,1,750,879.8,5.32,5.98,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,4,4,1,1,750,841.8,5.98,6.01,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,4,5,2,2,1200,900.4,6.01,6.56,0.0,90.34,6.61,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,4,6,2,2,1200,897.6,6.56,7.5,0.0,90.34,0.0,90.34,0,0.0,
Proposed_V13_Base,bigbuckbunny,4,7,2,2,1200,884.1,7.5,9.11,0.0,90.34,0.0,90.34,0,0.0,
Proposed_V13_Base,bigbuckbunny,4,8,2,2,1200,901.1,9.11,8.44,0.0,90.34,0.0,90.34,0,0.0,
Proposed_V13_Base,bigbuckbunny,4,9,2,2,1200,882.9,8.44,8.44,0.0,90.34,0.0,90.34,0,0.0,
