Method,Video,Episode,Chunk,Action_proposed,Bitrate_kbps_proposed,Throughput_kbps,Buffer_Before,Buffer_After,Rebuffer_s_proposed,VMAF_proposed,Smooth_Penalty,Step_QoE_proposed,Action_genie,Bitrate_kbps_genie,Rebuffer_s_genie,VMAF_genie,Step_QoE_genie,QoE_diff,Rebuf_diff,Action_match
Proposed,bigbuckbunny,2,22,2,1200,1087.5,4.0,5.27,0.0,90.34,0.0,90.34,2,1200,0.0,90.34,90.34,0.0,0.0,1
Proposed,bigbuckbunny,2,23,2,1200,1111.3,5.27,6.76,0.0,90.34,0.0,90.34,2,1200,0.0,90.34,90.34,0.0,0.0,1
Proposed,bigbuckbunny,2,24,2,1200,1138.6,6.76,5.4,0.0,90.34,0.0,90.34,2,1200,0.0,90.34,90.34,0.0,0.0,1
Proposed,bigbuckbunny,2,25,2,1200,1073.9,5.4,6.95,0.0,90.34,0.0,90.34,2,1200,0.0,90.34,90.34,0.0,0.0,1
Proposed,bigbuckbunny,2,26,2,1200,1065.4,6.95,8.12,0.0,90.34,0.0,90.34,2,1200,0.0,90.34,90.34,0.0,0.0,1
Proposed,bigbuckbunny,2,27,2,1200,984.5,8.12,9.16,0.0,90.34,0.0,90.34,2,1200,0.0,90.34,90.34,0.0,0.0,1
Proposed,bigbuckbunny,2,28,2,1200,824.4,9.16,7.31,0.0,90.34,0.0,90.34,2,1200,0.0,90.34,90.34,0.0,0.0,1
Proposed,bigbuckbunny,2,29,2,1200,1037.6,7.31,8.46,0.0,90.34,0.0,90.34,2,1200,0.0,90.34,90.34,0.0,0.0,1
Proposed,bigbuckbunny,2,30,2,1200,1055.3,8.46,9.38,0.0,90.34,0.0,90.34,2,1200,0.0,90.34,90.34,0.0,0.0,1
Proposed,bigbuckbunny,2,31,2,1200,1126.0,9.38,10.62,0.0,90.34,0.0,90.34,2,1200,0.0,90.34,90.34,0.0,0.0,1
Proposed,bigbuckbunny,2,32,2,1200,892.4,10.62,6.88,0.0,90.34,0.0,90.34,1,750,0.0,83.73,77.12,13.219999999999999,0.0,0
Proposed,bigbuckbunny,2,33,2,1200,941.8,6.88,6.47,0.0,90.34,0.0,90.34,1,750,0.0,83.73,83.73,6.609999999999999,0.0,0
Proposed,bigbuckbunny,2,34,2,1200,463.6,6.47,4.0,5.175,90.34,0.0,68.09,1,750,0.0,83.73,83.73,-15.64,5.175,0
Proposed,bigbuckbunny,2,35,1,750,1052.0,4.0,5.48,0.0,83.73,6.61,77.12,1,750,0.0,83.73,83.73,-6.609999999999999,0.0,1
Proposed,bigbuckbunny,2,36,0,300,355.7,5.48,4.0,2.818,66.58,17.15,37.31,1,750,0.0,83.73,83.73,-46.42,2.818,0
Proposed,bigbuckbunny,2,37,1,750,952.1,4.0,5.69,0.0,83.73,17.15,66.58,1,750,0.0,83.73,83.73,-17.150000000000006,0.0,1
Proposed,bigbuckbunny,2,38,2,1200,1023.8,5.69,4.28,0.0,90.34,6.61,83.73,1,750,0.0,83.73,83.73,0.0,0.0,0
Proposed,bigbuckbunny,2,39,2,1200,960.6,4.28,4.0,1.35,90.34,0.0,84.53,1,750,0.0,83.73,83.73,0.7999999999999972,1.35,0
Proposed,bigbuckbunny,2,40,1,750,955.9,4.0,4.0,1.594,83.73,6.61,70.27,1,750,0.0,83.73,83.73,-13.460000000000008,1.594,1
Proposed,bigbuckbunny,2,41,2,1200,880.2,4.0,4.02,0.0,90.34,6.61,83.73,2,1200,0.0,90.34,83.73,0.0,0.0,1
