Method,Video,Episode,Chunk,Action,Applied_Action,Bitrate_kbps,Throughput_kbps,Buffer_Before,Buffer_After,Rebuffer_s,VMAF,Smooth_Penalty,Step_QoE,Shield_Intervened,Shield_Rate
Proposed,bigbuckbunny,3,1,0,0,300,1465.1,4.0,7.32,0.0,66.58,0.0,66.58,0,0.0
Proposed,bigbuckbunny,3,2,1,1,750,835.4,7.32,8.22,0.0,83.73,17.15,66.58,0,0.0
Proposed,bigbuckbunny,3,3,0,0,300,338.2,8.22,8.86,0.0,66.58,17.15,49.43,0,0.0
Proposed,bigbuckbunny,3,4,0,0,300,799.4,8.86,9.72,0.0,66.58,0.0,66.58,0,0.0
Proposed,bigbuckbunny,3,5,1,1,750,852.7,9.72,10.44,0.0,83.73,17.15,66.58,0,0.0
Proposed,bigbuckbunny,3,6,2,2,1200,608.4,10.44,9.74,0.0,90.34,6.61,83.73,0,0.0
Proposed,bigbuckbunny,3,7,2,2,1200,376.5,9.74,7.61,0.0,90.34,0.0,90.34,0,0.0
Proposed,bigbuckbunny,3,8,0,0,300,1048.2,7.61,10.16,0.0,66.58,23.76,42.82,0,0.0
Proposed,bigbuckbunny,3,9,1,1,750,869.5,10.16,12.78,0.0,83.73,17.15,66.58,0,0.0
Proposed,bigbuckbunny,3,10,1,1,750,861.3,12.78,14.83,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,3,11,1,1,750,846.7,14.83,16.33,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,3,12,1,1,750,598.8,16.33,15.87,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,3,13,2,2,1200,608.7,15.87,14.72,0.0,90.34,6.61,83.73,0,0.0
Proposed,bigbuckbunny,3,14,2,2,1200,797.1,14.72,16.1,0.0,90.34,0.0,90.34,0,0.0
Proposed,bigbuckbunny,3,15,2,2,1200,1016.9,16.1,16.62,0.0,90.34,0.0,90.34,0,0.0
Proposed,bigbuckbunny,3,16,2,2,1200,1018.2,16.62,13.55,0.0,90.34,0.0,90.34,0,0.0
Proposed,bigbuckbunny,3,17,2,2,1200,1221.8,13.55,14.18,0.0,90.34,0.0,90.34,0,0.0
Proposed,bigbuckbunny,3,18,2,2,1200,1244.0,14.18,13.9,0.0,90.34,0.0,90.34,0,0.0
Proposed,bigbuckbunny,3,19,2,2,1200,967.8,13.9,13.99,0.0,90.34,0.0,90.34,0,0.0
Proposed,bigbuckbunny,3,20,1,1,750,1259.1,13.99,13.66,0.0,83.73,6.61,77.12,0,0.0
Proposed,bigbuckbunny,3,21,2,2,1200,1059.4,13.66,13.24,0.0,90.34,6.61,83.73,0,0.0
Proposed,bigbuckbunny,3,22,2,2,1200,1076.0,13.24,14.0,0.0,90.34,0.0,90.34,0,0.0
Proposed,bigbuckbunny,3,23,2,2,1200,1209.8,14.0,12.63,0.0,90.34,0.0,90.34,0,0.0
Proposed,bigbuckbunny,3,24,2,2,1200,901.4,12.63,8.07,0.0,90.34,0.0,90.34,0,0.0
Proposed,bigbuckbunny,3,25,2,2,1200,854.8,8.07,7.95,0.0,90.34,0.0,90.34,0,0.0
Proposed,bigbuckbunny,3,26,1,1,750,839.1,7.95,8.06,0.0,83.73,6.61,77.12,0,0.0
Proposed,bigbuckbunny,3,27,1,1,750,1088.7,8.06,10.65,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,3,28,1,1,750,1224.0,10.65,11.98,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,3,29,1,1,750,1011.0,11.98,13.75,0.0,83.73,0.0,83.73,0,0.0
