Method,Video,Episode,Chunk,Action_proposed,Applied_Action,Bitrate_kbps_proposed,Throughput_kbps,Buffer_Before,Buffer_After,Rebuffer_s_proposed,VMAF_proposed,Smooth_Penalty,Step_QoE_proposed,Shield_Intervened,Shield_Rate,Action_genie,Bitrate_kbps_genie,Rebuffer_s_genie,VMAF_genie,Step_QoE_genie,QoE_diff,Rebuf_diff,Action_match
Proposed,bigbuckbunny,2,12,2,2,1200,934.7,17.8,16.37,0.0,90.34,0.0,90.34,0,0.0,2,1200,0.0,90.34,90.34,0.0,0.0,1
Proposed,bigbuckbunny,2,13,2,2,1200,994.6,16.37,16.98,0.0,90.34,0.0,90.34,0,0.0,2,1200,0.0,90.34,90.34,0.0,0.0,1
Proposed,bigbuckbunny,2,14,2,2,1200,1000.9,16.98,17.22,0.0,90.34,0.0,90.34,0,0.0,2,1200,0.0,90.34,90.34,0.0,0.0,1
Proposed,bigbuckbunny,2,15,2,2,1200,858.9,17.22,17.17,0.0,90.34,0.0,90.34,0,0.0,2,1200,0.0,90.34,90.34,0.0,0.0,1
Proposed,bigbuckbunny,2,16,1,1,750,1103.0,17.17,16.09,0.0,83.73,6.61,77.12,0,0.0,1,750,0.0,83.73,77.12,0.0,0.0,1
Proposed,bigbuckbunny,2,17,2,2,1200,966.8,16.09,15.96,0.0,90.34,6.61,83.73,0,0.0,1,750,0.0,83.73,83.73,0.0,0.0,0
Proposed,bigbuckbunny,2,18,2,2,1200,810.4,15.96,12.43,0.0,90.34,0.0,90.34,0,0.0,1,750,0.0,83.73,83.73,6.609999999999999,0.0,0
Proposed,bigbuckbunny,2,19,2,2,1200,971.9,12.43,10.49,0.0,90.34,0.0,90.34,0,0.0,1,750,0.0,83.73,83.73,6.609999999999999,0.0,0
Proposed,bigbuckbunny,2,20,0,0,300,704.0,10.49,10.29,0.0,66.58,23.76,42.82,0,0.0,1,750,0.789,83.73,80.34,-37.52,-0.789,0
Proposed,bigbuckbunny,2,21,1,1,750,1036.7,10.29,10.12,0.0,83.73,17.15,66.58,0,0.0,1,750,0.176,83.73,82.97,-16.39,-0.176,1
Proposed,bigbuckbunny,2,22,2,2,1200,1087.5,10.12,11.21,0.0,90.34,6.61,83.73,0,0.0,1,750,0.0,83.73,83.73,0.0,0.0,0
Proposed,bigbuckbunny,2,23,2,2,1200,1111.3,11.21,11.08,0.0,90.34,0.0,90.34,0,0.0,1,750,0.0,83.73,83.73,6.609999999999999,0.0,0
Proposed,bigbuckbunny,2,24,1,1,750,1138.6,11.08,9.9,0.0,83.73,6.61,77.12,0,0.0,1,750,0.0,83.73,83.73,-6.609999999999999,0.0,1
Proposed,bigbuckbunny,2,25,2,2,1200,1073.9,9.9,11.64,0.0,90.34,6.61,83.73,0,0.0,2,1200,0.0,90.34,83.73,0.0,0.0,1
Proposed,bigbuckbunny,2,26,2,2,1200,1065.4,11.64,12.22,0.0,90.34,0.0,90.34,0,0.0,2,1200,0.0,90.34,90.34,0.0,0.0,1
Proposed,bigbuckbunny,2,27,2,2,1200,984.5,12.22,12.57,0.0,90.34,0.0,90.34,0,0.0,2,1200,0.0,90.34,90.34,0.0,0.0,1
Proposed,bigbuckbunny,2,28,2,2,1200,824.4,12.57,10.96,0.0,90.34,0.0,90.34,0,0.0,2,1200,0.0,90.34,90.34,0.0,0.0,1
Proposed,bigbuckbunny,2,29,2,2,1200,1037.6,10.96,12.61,0.0,90.34,0.0,90.34,0,0.0,2,1200,0.0,90.34,90.34,0.0,0.0,1
Proposed,bigbuckbunny,2,30,3,3,1850,1055.3,12.61,13.81,0.0,95.49,5.15,90.34,0,0.0,2,1200,0.0,90.34,90.34,0.0,0.0,0
Proposed,bigbuckbunny,2,31,2,2,1200,1126.0,13.81,15.91,0.0,90.34,5.15,85.19,0,0.0,2,1200,0.0,90.34,90.34,-5.150000000000006,0.0,1
Proposed,bigbuckbunny,2,32,2,2,1200,892.4,15.91,14.34,0.0,90.34,0.0,90.34,0,0.0,2,1200,0.0,90.34,90.34,0.0,0.0,1
Proposed,bigbuckbunny,2,33,2,2,1200,941.8,14.34,14.54,0.0,90.34,0.0,90.34,0,0.0,2,1200,0.0,90.34,90.34,0.0,0.0,1
Proposed,bigbuckbunny,2,34,2,2,1200,463.6,14.54,13.67,0.0,90.34,0.0,90.34,0,0.0,1,750,0.0,83.73,77.12,13.219999999999999,0.0,0
Proposed,bigbuckbunny,2,35,2,2,1200,1052.0,13.67,12.81,0.0,90.34,0.0,90.34,0,0.0,1,750,0.0,83.73,83.73,6.609999999999999,0.0,0
Proposed,bigbuckbunny,2,36,0,0,300,355.7,12.81,11.68,0.0,66.58,23.76,42.82,0,0.0,1,750,0.0,83.73,83.73,-40.910000000000004,0.0,0
Proposed,bigbuckbunny,2,37,1,1,750,952.1,11.68,13.32,0.0,83.73,17.15,66.58,0,0.0,1,750,0.0,83.73,83.73,-17.150000000000006,0.0,1
Proposed,bigbuckbunny,2,38,1,1,750,1023.8,13.32,14.05,0.0,83.73,0.0,83.73,0,0.0,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,2,39,1,1,750,960.6,14.05,14.48,0.0,83.73,0.0,83.73,0,0.0,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,2,40,1,1,750,955.9,14.48,11.28,0.0,83.73,0.0,83.73,0,0.0,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,2,41,2,2,1200,880.2,11.28,8.02,0.0,90.34,6.61,83.73,0,0.0,1,750,0.0,83.73,83.73,0.0,0.0,0
Proposed,bigbuckbunny,2,42,2,2,1200,1063.0,8.02,6.63,0.0,90.34,0.0,90.34,0,0.0,1,750,0.0,83.73,83.73,6.609999999999999,0.0,0
Proposed,bigbuckbunny,2,43,2,2,1200,934.7,6.63,5.57,0.0,90.34,0.0,90.34,0,0.0,1,750,0.0,83.73,83.73,6.609999999999999,0.0,0
Proposed,bigbuckbunny,2,44,0,0,300,994.6,5.57,7.28,0.0,66.58,23.76,42.82,0,0.0,1,750,0.025,83.73,83.62,-40.800000000000004,-0.025,0
Proposed,bigbuckbunny,2,45,1,1,750,1000.9,7.28,8.42,0.0,83.73,17.15,66.58,0,0.0,2,1200,0.579,90.34,81.24,-14.659999999999997,-0.579,0
Proposed,bigbuckbunny,2,46,1,1,750,858.9,8.42,9.77,0.0,83.73,0.0,83.73,0,0.0,2,1200,0.241,90.34,89.3,-5.569999999999993,-0.241,0
Proposed,bigbuckbunny,2,47,1,1,750,1103.0,9.77,11.96,0.0,83.73,0.0,83.73,0,0.0,2,1200,0.0,90.34,90.34,-6.609999999999999,0.0,0
Proposed,bigbuckbunny,3,0,0,0,300,1070.0,1.09,4.0,1.183,66.58,0.0,61.49,0,0.0,1,750,4.596,83.73,63.97,-2.479999999999997,-3.4130000000000003,0
Proposed,bigbuckbunny,3,1,0,0,300,1465.1,4.0,6.9,0.0,66.58,0.0,66.58,0,0.0,1,750,0.0,83.73,83.73,-17.150000000000006,0.0,0
