Method,Video,Episode,Chunk,Action,Applied_Action_proposed,Bitrate_kbps_proposed,Throughput_kbps,Buffer_Before,Buffer_After,Rebuffer_s_proposed,VMAF_proposed,Smooth_Penalty,Step_QoE_proposed,Shield_Intervened,Shield_Rate,Applied_Action_genie,Bitrate_kbps_genie,Rebuffer_s_genie,VMAF_genie,Step_QoE_genie,QoE_diff,Rebuf_diff,Action_match
Proposed,bigbuckbunny,1,20,0,0,300,561.7,4.0,5.43,0.0,66.58,23.76,42.82,0,0.0,1,750,0.0,83.73,83.73,-40.910000000000004,0.0,0
Proposed,bigbuckbunny,1,21,2,2,1200,529.7,5.43,4.0,3.12,90.34,23.76,53.16,0,0.0,1,750,0.0,83.73,83.73,-30.570000000000007,3.12,0
Proposed,bigbuckbunny,1,22,2,2,1200,362.6,4.0,4.0,6.099,90.34,0.0,64.12,0,0.0,1,750,0.0,83.73,83.73,-19.61,6.099,0
Proposed,bigbuckbunny,1,23,2,2,1200,712.6,4.0,4.0,1.193,90.34,0.0,85.21,0,0.0,1,750,0.0,83.73,83.73,1.4799999999999898,1.193,0
Proposed,bigbuckbunny,1,24,0,0,300,475.3,4.0,4.0,0.859,66.58,23.76,39.13,0,0.0,1,750,1.908,83.73,75.53,-36.4,-1.049,0
Proposed,bigbuckbunny,1,25,2,2,1200,474.9,4.0,4.0,3.805,90.34,23.76,50.22,0,0.0,1,750,0.878,83.73,79.95,-29.730000000000004,2.927,0
Proposed,bigbuckbunny,1,26,2,2,1200,616.4,4.0,4.0,4.299,90.34,0.0,71.86,0,0.0,1,750,1.187,83.73,78.63,-6.769999999999996,3.112,0
Proposed,bigbuckbunny,1,27,2,2,1200,428.1,4.0,4.0,6.255,90.34,0.0,63.44,0,0.0,1,750,2.409,83.73,73.37,-9.930000000000007,3.846,0
Proposed,bigbuckbunny,1,28,0,0,300,475.6,4.0,4.0,0.647,66.58,23.76,40.04,0,0.0,1,750,7.617,83.73,50.98,-10.939999999999998,-6.97,0
Proposed,bigbuckbunny,1,29,0,0,300,809.7,4.0,6.18,0.0,66.58,0.0,66.58,0,0.0,1,750,0.547,83.73,81.38,-14.799999999999997,-0.547,0
Proposed,bigbuckbunny,1,30,2,2,1200,699.9,6.18,4.0,1.574,90.34,23.76,59.81,0,0.0,1,750,0.847,83.73,80.09,-20.28,0.7270000000000001,0
Proposed,bigbuckbunny,1,31,2,2,1200,420.5,4.0,4.0,7.738,90.34,0.0,57.07,0,0.0,1,750,3.336,83.73,69.39,-12.32,4.402000000000001,0
Proposed,bigbuckbunny,1,32,0,0,300,473.9,4.0,4.87,0.0,66.58,23.76,42.82,0,0.0,1,750,3.831,83.73,67.26,-24.440000000000005,-3.831,0
Proposed,bigbuckbunny,1,33,2,2,1200,654.6,4.87,4.0,0.378,90.34,23.76,64.96,0,0.0,1,750,0.0,83.73,83.73,-18.77000000000001,0.378,0
