Method,Video,Episode,Chunk,Action,Applied_Action,Bitrate_kbps,Throughput_kbps,Buffer_Before,Buffer_After,Rebuffer_s,VMAF,Smooth_Penalty,Step_QoE,Shield_Intervened,Shield_Rate,Shield_Reason
Proposed_V13_Base,bigbuckbunny,2,12,2,2,1200,934.7,7.16,6.09,0.0,90.34,0.0,90.34,0,0.0,
Proposed_V13_Base,bigbuckbunny,2,13,2,2,1200,994.6,6.09,6.68,0.0,90.34,0.0,90.34,0,0.0,
Proposed_V13_Base,bigbuckbunny,2,14,2,2,1200,1000.9,6.68,8.52,0.0,90.34,0.0,90.34,0,0.0,
Proposed_V13_Base,bigbuckbunny,2,15,2,2,1200,858.9,8.52,8.46,0.0,90.34,0.0,90.34,0,0.0,
Proposed_V13_Base,bigbuckbunny,2,16,1,1,750,1103.0,8.46,9.17,0.0,83.73,6.61,77.12,0,0.0,
Proposed_V13_Base,bigbuckbunny,2,17,2,2,1200,966.8,9.17,9.41,0.0,90.34,6.61,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,2,18,2,2,1200,810.4,9.41,8.24,0.0,90.34,0.0,90.34,0,0.0,
Proposed_V13_Base,bigbuckbunny,2,19,2,2,1200,971.9,8.24,8.1,0.0,90.34,0.0,90.34,0,0.0,
Proposed_V13_Base,bigbuckbunny,2,20,1,1,750,704.0,8.1,4.0,0.13,83.73,6.61,76.56,0,0.0,
Proposed_V13_Base,bigbuckbunny,2,21,1,1,750,1036.7,4.0,5.22,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,2,22,1,1,750,1087.5,5.22,6.19,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,2,23,1,1,750,1111.3,6.19,7.74,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,2,24,1,1,750,1138.6,7.74,5.36,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,2,25,1,1,750,1073.9,5.36,6.37,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,2,26,1,1,750,1065.4,6.37,7.0,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,2,27,1,1,750,984.5,7.0,7.72,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,2,28,1,1,750,824.4,7.72,6.62,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,2,29,2,2,1200,1037.6,6.62,8.36,0.0,90.34,6.61,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,2,30,2,2,1200,1055.3,8.36,9.8,0.0,90.34,0.0,90.34,0,0.0,
Proposed_V13_Base,bigbuckbunny,2,31,2,2,1200,1126.0,9.8,10.79,0.0,90.34,0.0,90.34,0,0.0,
Proposed_V13_Base,bigbuckbunny,2,32,2,2,1200,892.4,10.79,8.95,0.0,90.34,0.0,90.34,0,0.0,
Proposed_V13_Base,bigbuckbunny,2,33,2,2,1200,941.8,8.95,10.91,0.0,90.34,0.0,90.34,0,0.0,
Proposed_V13_Base,bigbuckbunny,2,34,2,2,1200,463.6,10.91,10.17,0.0,90.34,0.0,90.34,0,0.0,
Proposed_V13_Base,bigbuckbunny,2,35,2,2,1200,1052.0,10.17,12.07,0.0,90.34,0.0,90.34,0,0.0,
Proposed_V13_Base,bigbuckbunny,2,36,2,2,1200,355.7,12.07,4.0,8.0,90.34,0.0,55.94,0,0.0,
Proposed_V13_Base,bigbuckbunny,2,37,1,1,750,952.1,4.0,5.22,0.0,83.73,6.61,77.12,0,0.0,
Proposed_V13_Base,bigbuckbunny,2,38,1,1,750,1023.8,5.22,6.31,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,2,39,1,1,750,960.6,6.31,6.55,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,2,40,1,1,750,955.9,6.55,4.41,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,2,41,1,1,750,880.2,4.41,4.0,0.114,83.73,0.0,83.24,0,0.0,
Proposed_V13_Base,bigbuckbunny,2,42,1,1,750,1063.0,4.0,4.25,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,2,43,1,1,750,934.7,4.25,4.0,0.343,83.73,0.0,82.25,0,0.0,
Proposed_V13_Base,bigbuckbunny,2,44,1,1,750,994.6,4.0,4.0,1.434,83.73,0.0,77.56,0,0.0,
Proposed_V13_Base,bigbuckbunny,2,45,1,1,750,1000.9,4.0,5.56,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,2,46,1,1,750,858.9,5.56,6.0,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,2,47,1,1,750,1103.0,6.0,7.38,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,3,0,1,1,750,1070.0,1.09,4.0,3.635,83.73,0.0,68.1,0,0.0,
Proposed_V13_Base,bigbuckbunny,3,1,1,1,750,1465.1,4.0,5.84,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,3,2,2,2,1200,835.4,5.84,5.24,0.0,90.34,6.61,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,3,3,1,1,750,338.2,5.24,4.0,7.392,83.73,6.61,45.33,0,0.0,
Proposed_V13_Base,bigbuckbunny,3,4,1,1,750,799.4,4.0,4.0,5.131,83.73,0.0,61.67,0,0.0,
Proposed_V13_Base,bigbuckbunny,3,5,1,1,750,852.7,4.0,5.32,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,3,6,1,1,750,608.4,5.32,4.31,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,3,7,1,1,750,376.5,4.31,4.0,2.633,83.73,0.0,72.41,0,0.0,
Proposed_V13_Base,bigbuckbunny,3,8,1,1,750,1048.2,4.0,4.05,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,3,9,1,1,750,869.5,4.05,5.77,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,3,10,1,1,750,861.3,5.77,6.95,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,3,11,1,1,750,846.7,6.95,8.56,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,3,12,1,1,750,598.8,8.56,7.62,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,3,13,1,1,750,608.7,7.62,8.14,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,3,14,2,2,1200,797.1,8.14,9.42,0.0,90.34,6.61,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,3,15,2,2,1200,1016.9,9.42,9.99,0.0,90.34,0.0,90.34,0,0.0,
Proposed_V13_Base,bigbuckbunny,3,16,2,2,1200,1018.2,9.99,8.3,0.0,90.34,0.0,90.34,0,0.0,
Proposed_V13_Base,bigbuckbunny,3,17,2,2,1200,1221.8,8.3,9.32,0.0,90.34,0.0,90.34,0,0.0,
Proposed_V13_Base,bigbuckbunny,3,18,2,2,1200,1244.0,9.32,9.95,0.0,90.34,0.0,90.34,0,0.0,
Proposed_V13_Base,bigbuckbunny,3,19,2,2,1200,967.8,9.95,9.79,0.0,90.34,0.0,90.34,0,0.0,
Proposed_V13_Base,bigbuckbunny,3,20,1,1,750,1259.1,9.79,9.19,0.0,83.73,6.61,77.12,0,0.0,
Proposed_V13_Base,bigbuckbunny,3,21,2,2,1200,1059.4,9.19,8.84,0.0,90.34,6.61,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,3,22,2,2,1200,1076.0,8.84,7.93,0.0,90.34,0.0,90.34,0,0.0,
Proposed_V13_Base,bigbuckbunny,3,23,2,2,1200,1209.8,7.93,8.34,0.0,90.34,0.0,90.34,0,0.0,
Proposed_V13_Base,bigbuckbunny,3,24,1,1,750,901.4,8.34,4.27,0.0,83.73,6.61,77.12,0,0.0,
Proposed_V13_Base,bigbuckbunny,3,25,1,1,750,854.8,4.27,4.51,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,3,26,1,1,750,839.1,4.51,4.24,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,3,27,1,1,750,1088.7,4.24,5.27,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,3,28,1,1,750,1224.0,5.27,5.84,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,3,29,2,2,1200,1011.0,5.84,7.52,0.0,90.34,6.61,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,3,30,2,2,1200,1048.2,7.52,8.94,0.0,90.34,0.0,90.34,0,0.0,
Proposed_V13_Base,bigbuckbunny,3,31,2,2,1200,1045.6,8.94,9.7,0.0,90.34,0.0,90.34,0,0.0,
Proposed_V13_Base,bigbuckbunny,3,32,2,2,1200,876.3,9.7,7.75,0.0,90.34,0.0,90.34,0,0.0,
Proposed_V13_Base,bigbuckbunny,3,33,2,2,1200,824.0,7.75,9.42,0.0,90.34,0.0,90.34,0,0.0,
Proposed_V13_Base,bigbuckbunny,3,34,2,2,1200,1157.6,9.42,11.52,0.0,90.34,0.0,90.34,0,0.0,
Proposed_V13_Base,bigbuckbunny,3,35,2,2,1200,894.8,11.52,13.05,0.0,90.34,0.0,90.34,0,0.0,
Proposed_V13_Base,bigbuckbunny,3,36,2,2,1200,1077.9,13.05,10.43,0.0,90.34,0.0,90.34,0,0.0,
Proposed_V13_Base,bigbuckbunny,3,37,2,2,1200,1041.8,10.43,10.36,0.0,90.34,0.0,90.34,0,0.0,
Proposed_V13_Base,bigbuckbunny,3,38,2,2,1200,1157.7,10.36,10.25,0.0,90.34,0.0,90.34,0,0.0,
Proposed_V13_Base,bigbuckbunny,3,39,2,2,1200,1092.3,10.25,8.96,0.0,90.34,0.0,90.34,0,0.0,
Proposed_V13_Base,bigbuckbunny,3,40,1,1,750,948.7,8.96,6.77,0.0,83.73,6.61,77.12,0,0.0,
Proposed_V13_Base,bigbuckbunny,3,41,1,1,750,1176.1,6.77,7.38,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,3,42,1,1,750,954.2,7.38,7.2,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,3,43,1,1,750,1010.0,7.2,6.95,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,3,44,1,1,750,904.9,6.95,4.98,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,3,45,1,1,750,896.6,4.98,6.25,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,3,46,1,1,750,742.8,6.25,6.14,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,3,47,1,1,750,427.9,6.14,4.0,0.596,83.73,0.0,81.17,0,0.0,
Proposed_V13_Base,bigbuckbunny,4,0,1,1,750,891.0,1.78,4.0,3.898,83.73,0.0,66.97,0,0.0,
Proposed_V13_Base,bigbuckbunny,4,1,1,1,750,891.2,4.0,4.45,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,4,2,1,1,750,890.8,4.45,5.75,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,4,3,1,1,750,879.8,5.75,4.9,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,4,4,1,1,750,841.8,4.9,4.0,3.775,83.73,0.0,67.5,0,0.0,
Proposed_V13_Base,bigbuckbunny,4,5,1,1,750,900.4,4.0,5.46,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,4,6,1,1,750,897.6,5.46,6.07,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,4,7,1,1,750,884.1,6.07,7.11,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,4,8,1,1,750,901.1,7.11,6.51,0.0,83.73,0.0,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,4,9,2,2,1200,882.9,6.51,6.92,0.0,90.34,6.61,83.73,0,0.0,
Proposed_V13_Base,bigbuckbunny,4,10,2,2,1200,901.2,6.92,6.61,0.0,90.34,0.0,90.34,0,0.0,
Proposed_V13_Base,bigbuckbunny,4,11,2,2,1200,900.7,6.61,7.02,0.0,90.34,0.0,90.34,0,0.0,
Proposed_V13_Base,bigbuckbunny,4,12,1,1,750,901.6,7.02,7.74,0.0,83.73,6.61,77.12,0,0.0,
Proposed_V13_Base,bigbuckbunny,4,13,2,2,1200,900.5,7.74,7.97,0.0,90.34,6.61,83.73,0,0.0,
