Method,Video,Episode,Chunk,Action,Applied_Action,Bitrate_kbps,Throughput_kbps,Buffer_Before,Buffer_After,Rebuffer_s,VMAF,Smooth_Penalty,Step_QoE,Shield_Intervened,Shield_Rate
Proposed,bigbuckbunny,4,17,2,2,1200,807.4,29.47,29.42,0.0,90.34,6.61,83.73,0,0.0
Proposed,bigbuckbunny,4,18,2,2,1200,902.0,29.42,30.0,0.0,90.34,0.0,90.34,0,0.0
Proposed,bigbuckbunny,4,19,2,2,1200,900.4,30.0,30.0,0.0,90.34,0.0,90.34,0,0.0
Proposed,bigbuckbunny,4,20,1,1,750,902.0,30.0,28.2,0.0,83.73,6.61,77.12,0,0.0
Proposed,bigbuckbunny,4,21,2,2,1200,901.2,28.2,27.22,0.0,90.34,6.61,83.73,0,0.0
Proposed,bigbuckbunny,4,22,2,2,1200,900.6,27.22,25.95,0.0,90.34,0.0,90.34,0,0.0
Proposed,bigbuckbunny,4,23,1,1,750,902.1,25.95,25.43,0.0,83.73,6.61,77.12,0,0.0
Proposed,bigbuckbunny,4,24,1,1,750,901.1,25.43,23.51,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,4,25,1,1,750,899.4,23.51,23.22,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,4,26,1,1,750,823.2,23.22,24.59,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,4,27,1,1,750,901.4,24.59,26.2,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,4,28,0,0,300,901.5,26.2,27.58,0.0,66.58,17.15,49.43,0,0.0
Proposed,bigbuckbunny,4,29,1,1,750,900.7,27.58,29.24,0.0,83.73,17.15,66.58,0,0.0
Proposed,bigbuckbunny,4,30,2,2,1200,899.6,29.24,30.0,0.0,90.34,6.61,83.73,0,0.0
Proposed,bigbuckbunny,4,31,2,2,1200,902.2,30.0,30.0,0.0,90.34,0.0,90.34,0,0.0
Proposed,bigbuckbunny,4,32,2,2,1200,900.9,30.0,29.12,0.0,90.34,0.0,90.34,0,0.0
Proposed,bigbuckbunny,4,33,2,2,1200,894.7,29.12,30.0,0.0,90.34,0.0,90.34,0,0.0
Proposed,bigbuckbunny,4,34,2,2,1200,901.3,30.0,30.0,0.0,90.34,0.0,90.34,0,0.0
Proposed,bigbuckbunny,4,35,2,2,1200,902.2,30.0,30.0,0.0,90.34,0.0,90.34,0,0.0
Proposed,bigbuckbunny,4,36,2,2,1200,901.0,30.0,28.19,0.0,90.34,0.0,90.34,0,0.0
Proposed,bigbuckbunny,4,37,2,2,1200,901.0,28.19,28.57,0.0,90.34,0.0,90.34,0,0.0
Proposed,bigbuckbunny,4,38,2,2,1200,901.5,28.57,29.16,0.0,90.34,0.0,90.34,0,0.0
