Method,Video,Episode,Chunk,Action_proposed,Bitrate_kbps_proposed,Throughput_kbps,Buffer_Before,Buffer_After,Rebuffer_s_proposed,VMAF_proposed,Smooth_Penalty,Step_QoE_proposed,Action_genie,Bitrate_kbps_genie,Rebuffer_s_genie,VMAF_genie,Step_QoE_genie,QoE_diff,Rebuf_diff,Action_match
Proposed,bigbuckbunny,1,28,0,300,475.6,4.85,5.88,0.0,66.58,17.15,49.43,1,750,2.571,83.73,72.68,-23.250000000000007,-2.571,0
Proposed,bigbuckbunny,1,29,0,300,809.7,5.88,9.15,0.0,66.58,0.0,66.58,1,750,0.0,83.73,83.73,-17.150000000000006,0.0,0
Proposed,bigbuckbunny,1,30,1,750,699.9,9.15,10.4,0.0,83.73,17.15,66.58,1,750,0.0,83.73,83.73,-17.150000000000006,0.0,1
Proposed,bigbuckbunny,1,31,1,750,420.5,10.4,8.58,0.0,83.73,0.0,83.73,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,1,32,1,750,473.9,8.58,4.0,0.868,83.73,0.0,80.0,1,750,3.848,83.73,67.18,12.819999999999993,-2.98,1
Proposed,bigbuckbunny,1,33,1,750,654.6,4.0,4.72,0.0,83.73,0.0,83.73,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,1,34,1,750,689.7,4.72,4.0,0.539,83.73,0.0,81.41,1,750,0.539,83.73,81.41,0.0,0.0,1
Proposed,bigbuckbunny,1,35,1,750,677.2,4.0,4.69,0.0,83.73,0.0,83.73,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,1,36,0,300,444.9,4.69,4.0,1.404,66.58,17.15,43.39,1,750,10.542,83.73,38.4,4.990000000000002,-9.138,0
Proposed,bigbuckbunny,1,37,0,300,795.5,4.0,6.31,0.0,66.58,0.0,66.58,1,750,0.227,83.73,82.75,-16.17,-0.227,0
Proposed,bigbuckbunny,1,38,0,300,664.8,6.31,7.95,0.0,66.58,0.0,66.58,1,750,1.897,83.73,75.57,-8.989999999999995,-1.897,0
Proposed,bigbuckbunny,1,39,0,300,743.5,7.95,9.78,0.0,66.58,0.0,66.58,1,750,1.422,83.73,77.62,-11.040000000000006,-1.422,0
Proposed,bigbuckbunny,1,40,0,300,649.3,9.78,10.88,0.0,66.58,0.0,66.58,1,750,3.245,83.73,69.78,-3.200000000000003,-3.245,0
Proposed,bigbuckbunny,1,41,1,750,598.7,10.88,12.07,0.0,83.73,17.15,66.58,1,750,0.0,83.73,83.73,-17.150000000000006,0.0,1
Proposed,bigbuckbunny,1,42,1,750,981.2,12.07,14.47,0.0,83.73,0.0,83.73,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,1,43,1,750,1001.1,14.47,15.64,0.0,83.73,0.0,83.73,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,1,44,1,750,505.3,15.64,12.85,0.0,83.73,0.0,83.73,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,1,45,1,750,571.6,12.85,13.73,0.0,83.73,0.0,83.73,2,1200,0.0,90.34,83.73,0.0,0.0,0
Proposed,bigbuckbunny,1,46,1,750,594.1,13.73,15.24,0.0,83.73,0.0,83.73,3,1850,1.172,95.49,85.3,-1.5699999999999932,-1.172,0
