Method,Video,Episode,Chunk,Action,Applied_Action,Bitrate_kbps,Throughput_kbps,Buffer_Before,Buffer_After,Rebuffer_s,VMAF,Smooth_Penalty,Step_QoE,Shield_Intervened,Shield_Rate
Proposed,bigbuckbunny,2,28,1,1,750,824.4,12.05,12.08,0.0,83.73,6.61,77.12,0,0.0
Proposed,bigbuckbunny,2,29,2,2,1200,1037.6,12.08,12.6,0.0,90.34,6.61,83.73,0,0.0
Proposed,bigbuckbunny,2,30,2,2,1200,1055.3,12.6,14.16,0.0,90.34,0.0,90.34,0,0.0
Proposed,bigbuckbunny,2,31,3,3,1850,1126.0,14.16,15.53,0.0,95.49,5.15,90.34,0,0.0
Proposed,bigbuckbunny,2,32,2,2,1200,892.4,15.53,13.78,0.0,90.34,5.15,85.19,0,0.0
Proposed,bigbuckbunny,2,33,2,2,1200,941.8,13.78,14.12,0.0,90.34,0.0,90.34,0,0.0
Proposed,bigbuckbunny,2,34,2,2,1200,463.6,14.12,9.76,0.0,90.34,0.0,90.34,0,0.0
Proposed,bigbuckbunny,2,35,2,2,1200,1052.0,9.76,10.75,0.0,90.34,0.0,90.34,0,0.0
Proposed,bigbuckbunny,2,36,1,1,750,355.7,10.75,4.0,4.001,83.73,6.61,59.92,0,0.0
Proposed,bigbuckbunny,2,37,2,2,1200,952.1,4.0,4.99,0.0,90.34,6.61,83.73,0,0.0
Proposed,bigbuckbunny,2,38,1,1,750,1023.8,4.99,6.71,0.0,83.73,6.61,77.12,0,0.0
Proposed,bigbuckbunny,2,39,1,1,750,960.6,6.71,8.01,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,2,40,1,1,750,955.9,8.01,4.83,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,2,41,1,1,750,880.2,4.83,4.4,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,2,42,1,1,750,1063.0,4.4,5.17,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,2,43,1,1,750,934.7,5.17,6.08,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,2,44,1,1,750,994.6,6.08,4.0,0.504,83.73,0.0,81.56,0,0.0
