Method,Video,Episode,Chunk,Action,Bitrate_kbps,Throughput_kbps,Buffer_Before,Buffer_After,Rebuffer_s,VMAF,Smooth_Penalty,Step_QoE
Proposed,bigbuckbunny,3,17,1,750,1221.8,7.1,9.9,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,3,18,1,750,1244.0,9.9,12.93,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,3,19,1,750,967.8,12.93,15.28,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,3,20,1,750,1259.1,15.28,16.62,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,3,21,1,750,1059.4,16.62,19.49,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,3,22,1,750,1076.0,19.49,21.45,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,3,23,1,750,1209.8,21.45,23.91,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,3,24,1,750,901.4,23.91,22.78,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,3,25,1,750,854.8,22.78,24.12,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,3,26,1,750,839.1,24.12,24.87,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,3,27,1,750,1088.7,24.87,26.6,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,3,28,1,750,1224.0,26.6,26.41,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,3,29,1,750,1011.0,26.41,26.28,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,3,30,1,750,1048.2,26.28,26.38,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,3,31,1,750,1045.6,26.38,28.18,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,3,32,1,750,876.3,28.18,25.86,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,3,33,1,750,824.0,25.86,26.64,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,3,34,1,750,1157.6,26.64,28.55,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,3,35,1,750,894.8,28.55,29.35,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,3,36,1,750,1077.9,29.35,30.0,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,3,37,1,750,1041.8,30.0,30.0,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,3,38,1,750,1157.7,30.0,30.0,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,3,39,1,750,1092.3,30.0,30.0,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,3,40,1,750,948.7,30.0,30.0,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,3,41,1,750,1176.1,30.0,30.0,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,3,42,1,750,954.2,30.0,30.0,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,3,43,1,750,1010.0,30.0,30.0,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,3,44,1,750,904.9,30.0,29.26,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,3,45,1,750,896.6,29.26,30.0,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,3,46,1,750,742.8,30.0,30.0,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,3,47,1,750,427.9,30.0,26.89,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,4,0,1,750,891.0,1.78,4.0,2.202,83.73,0.0,74.26
