Method,Video,Episode,Chunk,Action_proposed,Applied_Action,Bitrate_kbps_proposed,Throughput_kbps,Buffer_Before,Buffer_After,Rebuffer_s_proposed,VMAF_proposed,Smooth_Penalty,Step_QoE_proposed,Shield_Intervened,Shield_Rate,Action_genie,Bitrate_kbps_genie,Rebuffer_s_genie,VMAF_genie,Step_QoE_genie,QoE_diff
Proposed_ShieldedQoE,bigbuckbunny,1,37,1,1,750,795.5,26.65,28.09,0.0,83.73,0.0,83.73,0,0.0,1,750,0.0,83.73,83.73,0.0
Proposed_ShieldedQoE,bigbuckbunny,1,38,1,1,750,664.8,28.09,29.19,0.0,83.73,0.0,83.73,0,0.0,1,750,0.0,83.73,83.73,0.0
Proposed_ShieldedQoE,bigbuckbunny,1,39,1,1,750,743.5,29.19,30.0,0.0,83.73,0.0,83.73,0,0.0,1,750,0.0,83.73,83.73,0.0
Proposed_ShieldedQoE,bigbuckbunny,1,40,0,0,300,649.3,30.0,30.0,0.0,66.58,17.15,49.43,0,0.0,1,750,0.0,83.73,83.73,-34.300000000000004
Proposed_ShieldedQoE,bigbuckbunny,1,41,5,5,6000,598.7,30.0,29.94,0.0,97.14,30.56,66.58,0,0.0,1,750,0.0,83.73,83.73,-17.150000000000006
Proposed_ShieldedQoE,bigbuckbunny,1,42,0,0,300,981.2,29.94,30.0,0.0,66.58,30.56,36.02,0,0.0,1,750,0.0,83.73,83.73,-47.71
Proposed_ShieldedQoE,bigbuckbunny,1,43,5,5,6000,1001.1,30.0,29.83,0.0,97.14,30.56,66.58,0,0.0,1,750,0.0,83.73,83.73,-17.150000000000006
Proposed_ShieldedQoE,bigbuckbunny,1,44,0,0,300,505.3,29.83,28.77,0.0,66.58,30.56,36.02,0,0.0,1,750,0.0,83.73,83.73,-47.71
Proposed_ShieldedQoE,bigbuckbunny,1,45,1,1,750,571.6,28.77,28.95,0.0,83.73,17.15,66.58,0,0.0,1,750,0.0,83.73,83.73,-17.150000000000006
Proposed_ShieldedQoE,bigbuckbunny,1,46,0,0,300,594.1,28.95,30.0,0.0,66.58,17.15,49.43,0,0.0,1,750,0.0,83.73,83.73,-34.300000000000004
Proposed_ShieldedQoE,bigbuckbunny,1,47,5,5,6000,930.5,30.0,30.0,0.0,97.14,30.56,66.58,0,0.0,1,750,0.0,83.73,83.73,-17.150000000000006
Proposed_ShieldedQoE,bigbuckbunny,2,0,0,0,300,1126.0,1.25,4.0,0.498,66.58,0.0,16.76,0,0.0,0,300,0.498,66.58,16.76,0.0
Proposed_ShieldedQoE,bigbuckbunny,2,1,0,0,300,892.4,4.0,6.77,0.0,66.58,0.0,66.58,0,0.0,0,300,0.0,66.58,66.58,0.0
Proposed_ShieldedQoE,bigbuckbunny,2,2,5,4,2850,941.8,6.77,8.36,0.0,97.11,30.53,66.58,1,0.3333333333333333,0,300,0.0,66.58,66.58,0.0
Proposed_ShieldedQoE,bigbuckbunny,2,3,0,0,300,463.6,8.36,9.52,0.0,66.58,30.53,36.05,0,0.25,0,300,0.0,66.58,66.58,-30.53
Proposed_ShieldedQoE,bigbuckbunny,2,4,5,0,300,1052.0,9.52,10.98,0.0,66.58,0.0,66.58,1,0.4,0,300,0.0,66.58,66.58,0.0
Proposed_ShieldedQoE,bigbuckbunny,2,5,0,0,300,355.7,10.98,10.25,0.0,66.58,0.0,66.58,0,0.3333333333333333,0,300,0.0,66.58,66.58,0.0
Proposed_ShieldedQoE,bigbuckbunny,2,6,0,0,300,952.1,10.25,12.79,0.0,66.58,0.0,66.58,0,0.2857142857142857,1,750,0.0,83.73,66.58,0.0
Proposed_ShieldedQoE,bigbuckbunny,2,7,0,0,300,1023.8,12.79,15.34,0.0,66.58,0.0,66.58,0,0.25,1,750,0.0,83.73,83.73,-17.150000000000006
Proposed_ShieldedQoE,bigbuckbunny,2,8,0,0,300,960.6,15.34,17.37,0.0,66.58,0.0,66.58,0,0.2222222222222222,1,750,0.0,83.73,83.73,-17.150000000000006
Proposed_ShieldedQoE,bigbuckbunny,2,9,5,5,6000,955.9,17.37,18.14,0.0,97.14,30.56,66.58,0,0.2,2,1200,0.0,90.34,83.73,-17.150000000000006
Proposed_ShieldedQoE,bigbuckbunny,2,10,1,1,750,880.2,18.14,19.08,0.0,83.73,13.41,70.32,0,0.18181818181818182,2,1200,0.0,90.34,90.34,-20.02000000000001
Proposed_ShieldedQoE,bigbuckbunny,2,11,1,1,750,1063.0,19.08,21.82,0.0,83.73,0.0,83.73,0,0.16666666666666666,2,1200,0.0,90.34,90.34,-6.609999999999999
Proposed_ShieldedQoE,bigbuckbunny,2,12,5,5,6000,934.7,21.82,20.29,0.0,97.14,13.41,83.73,0,0.15384615384615385,2,1200,0.0,90.34,90.34,-6.609999999999999
Proposed_ShieldedQoE,bigbuckbunny,2,13,1,1,750,994.6,20.29,23.02,0.0,83.73,13.41,70.32,0,0.14285714285714285,2,1200,0.0,90.34,90.34,-20.02000000000001
Proposed_ShieldedQoE,bigbuckbunny,2,14,3,3,1850,1000.9,23.02,24.38,0.0,95.49,11.76,83.73,0,0.13333333333333333,2,1200,0.0,90.34,90.34,-6.609999999999999
Proposed_ShieldedQoE,bigbuckbunny,2,15,1,1,750,858.9,24.38,26.04,0.0,83.73,11.76,71.97,0,0.125,2,1200,0.0,90.34,90.34,-18.370000000000005
Proposed_ShieldedQoE,bigbuckbunny,2,16,0,0,300,1103.0,26.04,28.56,0.0,66.58,17.15,49.43,0,0.11764705882352941,2,1200,0.0,90.34,90.34,-40.910000000000004
Proposed_ShieldedQoE,bigbuckbunny,2,17,3,3,1850,966.8,28.56,30.0,0.0,95.49,28.91,66.58,0,0.1111111111111111,2,1200,0.0,90.34,90.34,-23.760000000000005
Proposed_ShieldedQoE,bigbuckbunny,2,18,3,3,1850,810.4,30.0,30.0,0.0,95.49,0.0,95.49,0,0.10526315789473684,2,1200,0.0,90.34,90.34,5.1499999999999915
Proposed_ShieldedQoE,bigbuckbunny,2,19,1,1,750,971.9,30.0,30.0,0.0,83.73,11.76,71.97,0,0.1,2,1200,0.0,90.34,90.34,-18.370000000000005
Proposed_ShieldedQoE,bigbuckbunny,2,20,1,1,750,704.0,30.0,26.57,0.0,83.73,0.0,83.73,0,0.09523809523809523,1,750,0.0,83.73,77.12,6.609999999999999
Proposed_ShieldedQoE,bigbuckbunny,2,21,1,1,750,1036.7,26.57,27.86,0.0,83.73,0.0,83.73,0,0.09090909090909091,1,750,0.0,83.73,83.73,0.0
Proposed_ShieldedQoE,bigbuckbunny,2,22,3,3,1850,1087.5,27.86,27.5,0.0,95.49,11.76,83.73,0,0.08695652173913043,1,750,0.0,83.73,83.73,0.0
Proposed_ShieldedQoE,bigbuckbunny,2,23,1,1,750,1111.3,27.5,27.83,0.0,83.73,11.76,71.97,0,0.08333333333333333,1,750,0.0,83.73,83.73,-11.760000000000005
Proposed_ShieldedQoE,bigbuckbunny,2,24,1,1,750,1138.6,27.83,27.14,0.0,83.73,0.0,83.73,0,0.08,1,750,0.0,83.73,83.73,0.0
Proposed_ShieldedQoE,bigbuckbunny,2,25,1,1,750,1073.9,27.14,27.55,0.0,83.73,0.0,83.73,0,0.07692307692307693,1,750,0.0,83.73,83.73,0.0
Proposed_ShieldedQoE,bigbuckbunny,2,26,1,1,750,1065.4,27.55,29.52,0.0,83.73,0.0,83.73,0,0.07407407407407407,1,750,0.0,83.73,83.73,0.0
Proposed_ShieldedQoE,bigbuckbunny,2,27,3,3,1850,984.5,29.52,30.0,0.0,95.49,11.76,83.73,0,0.07142857142857142,1,750,0.0,83.73,83.73,0.0
