Method,Video,Episode,Chunk,Action,Applied_Action_proposed,Bitrate_kbps_proposed,Throughput_kbps,Buffer_Before,Buffer_After,Rebuffer_s_proposed,VMAF_proposed,Smooth_Penalty,Step_QoE_proposed,Shield_Intervened,Shield_Rate,Applied_Action_genie,Bitrate_kbps_genie,Rebuffer_s_genie,VMAF_genie,Step_QoE_genie,QoE_diff,Rebuf_diff,Action_match
Proposed,bigbuckbunny,1,36,2,2,1200,444.9,5.52,4.0,6.097,90.34,0.0,64.13,0,0.0,1,750,0.0,83.73,83.73,-19.60000000000001,6.097,0
Proposed,bigbuckbunny,1,37,2,2,1200,795.5,4.0,5.59,0.0,90.34,0.0,90.34,0,0.0,1,750,0.0,83.73,83.73,6.609999999999999,0.0,0
Proposed,bigbuckbunny,1,38,2,2,1200,664.8,5.59,4.73,0.0,90.34,0.0,90.34,0,0.0,1,750,0.0,83.73,83.73,6.609999999999999,0.0,0
Proposed,bigbuckbunny,1,39,2,2,1200,743.5,4.73,4.03,0.0,90.34,0.0,90.34,0,0.0,1,750,0.0,83.73,83.73,6.609999999999999,0.0,0
Proposed,bigbuckbunny,1,40,2,2,1200,649.3,4.03,4.0,4.348,90.34,0.0,71.64,0,0.0,1,750,0.0,83.73,83.73,-12.090000000000003,4.348,0
Proposed,bigbuckbunny,1,41,2,2,1200,598.7,4.0,4.0,1.615,90.34,0.0,83.4,0,0.0,1,750,0.0,83.73,83.73,-0.3299999999999983,1.615,0
Proposed,bigbuckbunny,1,42,2,2,1200,981.2,4.0,4.0,1.54,90.34,0.0,83.72,0,0.0,1,750,0.0,83.73,83.73,-0.010000000000005116,1.54,0
Proposed,bigbuckbunny,1,43,2,2,1200,1001.1,4.0,4.0,1.037,90.34,0.0,85.88,0,0.0,1,750,0.0,83.73,83.73,2.1499999999999915,1.037,0
Proposed,bigbuckbunny,1,44,2,2,1200,505.3,4.0,4.0,13.498,90.34,0.0,32.3,0,0.0,1,750,0.0,83.73,83.73,-51.43000000000001,13.498,0
Proposed,bigbuckbunny,1,45,2,2,1200,571.6,4.0,4.0,4.96,90.34,0.0,69.01,0,0.0,1,750,1.269,83.73,78.27,-9.259999999999991,3.691,0
Proposed,bigbuckbunny,1,46,2,2,1200,594.1,4.0,4.0,6.007,90.34,0.0,64.51,0,0.0,1,750,2.254,83.73,74.04,-9.530000000000001,3.7529999999999997,0
Proposed,bigbuckbunny,1,47,2,2,1200,930.5,4.0,4.0,2.761,90.34,0.0,78.47,0,0.0,1,750,0.226,83.73,82.76,-4.290000000000006,2.535,0
Proposed,bigbuckbunny,2,0,2,2,1200,1126.0,1.25,4.0,3.528,90.34,0.0,75.17,0,0.0,1,750,1.738,83.73,76.26,-1.0900000000000034,1.79,0
Proposed,bigbuckbunny,2,1,2,2,1200,892.4,4.0,4.0,1.129,90.34,0.0,85.49,0,0.0,1,750,0.0,83.73,83.73,1.759999999999991,1.129,0
