Method,Video,Episode,Chunk,Action_proposed,Applied_Action,Bitrate_kbps_proposed,Throughput_kbps,Buffer_Before,Buffer_After,Rebuffer_s_proposed,VMAF_proposed,Smooth_Penalty,Step_QoE_proposed,Shield_Intervened,Shield_Rate,Action_genie,Bitrate_kbps_genie,Rebuffer_s_genie,VMAF_genie,Step_QoE_genie,QoE_diff,Rebuf_diff,Action_match
Proposed,bigbuckbunny,1,8,1,1,750,502.5,4.0,4.0,6.332,83.73,0.0,56.5,0,0.0,1,750,6.332,83.73,56.5,0.0,0.0,1
Proposed,bigbuckbunny,1,9,1,1,750,618.3,4.0,4.0,0.061,83.73,0.0,83.47,0,0.0,1,750,0.061,83.73,83.47,0.0,0.0,1
Proposed,bigbuckbunny,1,10,1,1,750,583.5,4.0,5.22,0.0,83.73,0.0,83.73,0,0.0,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,1,11,1,1,750,488.0,5.22,4.78,0.0,83.73,0.0,83.73,0,0.0,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,1,12,1,1,750,778.7,4.78,5.03,0.0,83.73,0.0,83.73,0,0.0,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,1,13,1,1,750,653.2,5.03,6.98,0.0,83.73,0.0,83.73,0,0.0,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,1,14,1,1,750,587.3,6.98,8.07,0.0,83.73,0.0,83.73,0,0.0,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,1,15,1,1,750,472.8,8.07,8.29,0.0,83.73,0.0,83.73,0,0.0,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,1,16,1,1,750,790.7,8.29,7.79,0.0,83.73,0.0,83.73,0,0.0,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,1,17,1,1,750,576.4,7.79,7.91,0.0,83.73,0.0,83.73,0,0.0,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,1,18,1,1,750,793.4,7.91,8.45,0.0,83.73,0.0,83.73,0,0.0,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,1,19,1,1,750,446.8,8.45,8.49,0.0,83.73,0.0,83.73,0,0.0,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,1,20,1,1,750,561.7,8.49,4.0,2.095,83.73,0.0,74.72,0,0.0,1,750,2.095,83.73,74.72,0.0,0.0,1
Proposed,bigbuckbunny,1,21,1,1,750,529.7,4.0,4.0,0.169,83.73,0.0,83.0,0,0.0,1,750,0.169,83.73,83.0,0.0,0.0,1
Proposed,bigbuckbunny,1,22,1,1,750,362.6,4.0,4.0,4.055,83.73,0.0,66.29,0,0.0,1,750,4.055,83.73,66.29,0.0,0.0,1
Proposed,bigbuckbunny,1,23,1,1,750,712.6,4.0,5.09,0.0,83.73,0.0,83.73,0,0.0,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,1,24,1,1,750,475.3,5.09,4.0,5.766,83.73,0.0,58.94,0,0.0,1,750,5.766,83.73,58.94,0.0,0.0,1
Proposed,bigbuckbunny,1,25,1,1,750,474.9,4.0,4.0,2.225,83.73,0.0,74.16,0,0.0,1,750,2.225,83.73,74.16,0.0,0.0,1
Proposed,bigbuckbunny,1,26,1,1,750,616.4,4.0,4.39,0.0,83.73,0.0,83.73,0,0.0,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,1,27,1,1,750,428.1,4.39,4.0,2.98,83.73,0.0,70.92,0,0.0,1,750,2.98,83.73,70.92,0.0,0.0,1
Proposed,bigbuckbunny,1,28,1,1,750,475.6,4.0,4.0,6.214,83.73,0.0,57.01,0,0.0,1,750,6.214,83.73,57.01,0.0,0.0,1
Proposed,bigbuckbunny,1,29,1,1,750,809.7,4.0,4.89,0.0,83.73,0.0,83.73,0,0.0,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,1,30,1,1,750,699.9,4.89,7.12,0.0,83.73,0.0,83.73,0,0.0,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,1,31,1,1,750,420.5,7.12,7.08,0.0,83.73,0.0,83.73,0,0.0,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,1,32,1,1,750,473.9,7.08,4.03,0.0,83.73,0.0,83.73,0,0.0,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,1,33,1,1,750,654.6,4.03,6.2,0.0,83.73,0.0,83.73,0,0.0,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,1,34,1,1,750,689.7,6.2,7.25,0.0,83.73,0.0,83.73,0,0.0,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,1,35,1,1,750,677.2,7.25,9.31,0.0,83.73,0.0,83.73,0,0.0,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,1,36,1,1,750,444.9,9.31,4.0,0.239,83.73,0.0,82.7,0,0.0,1,750,0.239,83.73,82.7,0.0,0.0,1
Proposed,bigbuckbunny,1,37,2,2,1200,795.5,4.0,5.02,0.0,90.34,6.61,83.73,0,0.0,1,750,0.0,83.73,83.73,0.0,0.0,0
Proposed,bigbuckbunny,1,38,1,1,750,664.8,5.02,5.88,0.0,83.73,6.61,77.12,0,0.0,1,750,0.0,83.73,83.73,-6.609999999999999,0.0,1
Proposed,bigbuckbunny,1,39,1,1,750,743.5,5.88,5.16,0.0,83.73,0.0,83.73,0,0.0,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,1,40,1,1,750,649.3,5.16,4.0,2.087,83.73,0.0,74.76,0,0.0,1,750,0.97,83.73,79.56,-4.799999999999997,1.1170000000000002,1
Proposed,bigbuckbunny,1,41,1,1,750,598.7,4.0,4.0,2.077,83.73,0.0,74.8,0,0.0,1,750,2.077,83.73,74.8,0.0,0.0,1
Proposed,bigbuckbunny,1,42,1,1,750,981.2,4.0,4.0,0.098,83.73,0.0,83.31,0,0.0,1,750,0.098,83.73,83.31,0.0,0.0,1
Proposed,bigbuckbunny,1,43,1,1,750,1001.1,4.0,5.24,0.0,83.73,0.0,83.73,0,0.0,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,1,44,1,1,750,505.3,5.24,4.0,9.108,83.73,0.0,44.57,0,0.0,1,750,9.108,83.73,44.57,0.0,0.0,1
Proposed,bigbuckbunny,1,45,1,1,750,571.6,4.0,4.35,0.0,83.73,0.0,83.73,0,0.0,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,1,46,1,1,750,594.1,4.35,4.17,0.0,83.73,0.0,83.73,0,0.0,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,1,47,1,1,750,930.5,4.17,6.29,0.0,83.73,0.0,83.73,0,0.0,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,2,0,1,1,750,1126.0,1.25,4.0,3.758,83.73,0.0,67.57,0,0.0,1,750,3.758,83.73,67.57,0.0,0.0,1
Proposed,bigbuckbunny,2,1,1,1,750,892.4,4.0,4.58,0.0,83.73,0.0,83.73,0,0.0,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,2,2,1,1,750,941.8,4.58,4.53,0.0,83.73,0.0,83.73,0,0.0,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,2,3,1,1,750,463.6,4.53,4.0,0.453,83.73,0.0,81.78,0,0.0,1,750,0.453,83.73,81.78,0.0,0.0,1
Proposed,bigbuckbunny,2,4,1,1,750,1052.0,4.0,4.0,0.849,83.73,0.0,80.08,0,0.0,1,750,0.849,83.73,80.08,0.0,0.0,1
Proposed,bigbuckbunny,2,5,1,1,750,355.7,4.0,4.0,2.671,83.73,0.0,72.25,0,0.0,1,750,2.671,83.73,72.25,0.0,0.0,1
Proposed,bigbuckbunny,2,6,1,1,750,952.1,4.0,5.08,0.0,83.73,0.0,83.73,0,0.0,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,2,7,1,1,750,1023.8,5.08,6.02,0.0,83.73,0.0,83.73,0,0.0,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,2,8,1,1,750,960.6,6.02,4.61,0.0,83.73,0.0,83.73,0,0.0,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,2,9,1,1,750,955.9,4.61,5.99,0.0,83.73,0.0,83.73,0,0.0,2,1200,0.0,90.34,83.73,0.0,0.0,0
Proposed,bigbuckbunny,2,10,1,1,750,880.2,5.99,8.14,0.0,83.73,0.0,83.73,0,0.0,2,1200,0.0,90.34,90.34,-6.609999999999999,0.0,0
Proposed,bigbuckbunny,2,11,1,1,750,1063.0,8.14,10.1,0.0,83.73,0.0,83.73,0,0.0,2,1200,0.0,90.34,90.34,-6.609999999999999,0.0,0
Proposed,bigbuckbunny,2,12,1,1,750,934.7,10.1,10.99,0.0,83.73,0.0,83.73,0,0.0,2,1200,0.0,90.34,90.34,-6.609999999999999,0.0,0
Proposed,bigbuckbunny,2,13,2,2,1200,994.6,10.99,12.83,0.0,90.34,6.61,83.73,0,0.0,2,1200,0.0,90.34,90.34,-6.609999999999999,0.0,1
Proposed,bigbuckbunny,2,14,2,2,1200,1000.9,12.83,14.09,0.0,90.34,0.0,90.34,0,0.0,2,1200,0.0,90.34,90.34,0.0,0.0,1
Proposed,bigbuckbunny,2,15,2,2,1200,858.9,14.09,14.77,0.0,90.34,0.0,90.34,0,0.0,2,1200,0.0,90.34,90.34,0.0,0.0,1
Proposed,bigbuckbunny,2,16,2,2,1200,1103.0,14.77,13.61,0.0,90.34,0.0,90.34,0,0.0,2,1200,0.0,90.34,90.34,0.0,0.0,1
Proposed,bigbuckbunny,2,17,2,2,1200,966.8,13.61,13.91,0.0,90.34,0.0,90.34,0,0.0,2,1200,0.0,90.34,90.34,0.0,0.0,1
Proposed,bigbuckbunny,2,18,2,2,1200,810.4,13.91,12.48,0.0,90.34,0.0,90.34,0,0.0,2,1200,0.0,90.34,90.34,0.0,0.0,1
Proposed,bigbuckbunny,2,19,2,2,1200,971.9,12.48,13.56,0.0,90.34,0.0,90.34,0,0.0,2,1200,0.0,90.34,90.34,0.0,0.0,1
Proposed,bigbuckbunny,2,20,1,1,750,704.0,13.56,9.12,0.0,83.73,6.61,77.12,0,0.0,1,750,0.654,83.73,74.31,2.8100000000000023,-0.654,1
Proposed,bigbuckbunny,2,21,2,2,1200,1036.7,9.12,9.71,0.0,90.34,6.61,83.73,0,0.0,1,750,0.0,83.73,83.73,0.0,0.0,0
Proposed,bigbuckbunny,2,22,2,2,1200,1087.5,9.71,9.42,0.0,90.34,0.0,90.34,0,0.0,1,750,0.0,83.73,83.73,6.609999999999999,0.0,0
Proposed,bigbuckbunny,2,23,2,2,1200,1111.3,9.42,10.43,0.0,90.34,0.0,90.34,0,0.0,1,750,0.0,83.73,83.73,6.609999999999999,0.0,0
Proposed,bigbuckbunny,2,24,1,1,750,1138.6,10.43,9.9,0.0,83.73,6.61,77.12,0,0.0,1,750,0.0,83.73,83.73,-6.609999999999999,0.0,1
Proposed,bigbuckbunny,2,25,1,1,750,1073.9,9.9,11.15,0.0,83.73,0.0,83.73,0,0.0,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,2,26,1,1,750,1065.4,11.15,13.06,0.0,83.73,0.0,83.73,0,0.0,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,2,27,1,1,750,984.5,13.06,13.85,0.0,83.73,0.0,83.73,0,0.0,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,2,28,1,1,750,824.4,13.85,11.96,0.0,83.73,0.0,83.73,0,0.0,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,2,29,2,2,1200,1037.6,11.96,12.07,0.0,90.34,6.61,83.73,0,0.0,2,1200,0.0,90.34,83.73,0.0,0.0,1
Proposed,bigbuckbunny,2,30,2,2,1200,1055.3,12.07,14.2,0.0,90.34,0.0,90.34,0,0.0,2,1200,0.0,90.34,90.34,0.0,0.0,1
Proposed,bigbuckbunny,2,31,2,2,1200,1126.0,14.2,15.79,0.0,90.34,0.0,90.34,0,0.0,2,1200,0.0,90.34,90.34,0.0,0.0,1
Proposed,bigbuckbunny,2,32,2,2,1200,892.4,15.79,13.8,0.0,90.34,0.0,90.34,0,0.0,2,1200,0.0,90.34,90.34,0.0,0.0,1
Proposed,bigbuckbunny,2,33,2,2,1200,941.8,13.8,15.76,0.0,90.34,0.0,90.34,0,0.0,2,1200,0.0,90.34,90.34,0.0,0.0,1
Proposed,bigbuckbunny,2,34,2,2,1200,463.6,15.76,12.74,0.0,90.34,0.0,90.34,0,0.0,2,1200,0.0,90.34,90.34,0.0,0.0,1
Proposed,bigbuckbunny,2,35,2,2,1200,1052.0,12.74,14.74,0.0,90.34,0.0,90.34,0,0.0,2,1200,0.0,90.34,90.34,0.0,0.0,1
Proposed,bigbuckbunny,2,36,1,1,750,355.7,14.74,6.8,0.0,83.73,6.61,77.12,0,0.0,1,750,0.0,83.73,77.12,0.0,0.0,1
Proposed,bigbuckbunny,2,37,2,2,1200,952.1,6.8,8.31,0.0,90.34,6.61,83.73,0,0.0,1,750,0.0,83.73,83.73,0.0,0.0,0
Proposed,bigbuckbunny,2,38,1,1,750,1023.8,8.31,10.27,0.0,83.73,6.61,77.12,0,0.0,1,750,0.0,83.73,83.73,-6.609999999999999,0.0,1
Proposed,bigbuckbunny,2,39,1,1,750,960.6,10.27,10.61,0.0,83.73,0.0,83.73,0,0.0,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,2,40,1,1,750,955.9,10.61,9.69,0.0,83.73,0.0,83.73,0,0.0,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,2,41,1,1,750,880.2,9.69,9.56,0.0,83.73,0.0,83.73,0,0.0,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,2,42,1,1,750,1063.0,9.56,9.78,0.0,83.73,0.0,83.73,0,0.0,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,2,43,1,1,750,934.7,9.78,10.82,0.0,83.73,0.0,83.73,0,0.0,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,2,44,1,1,750,994.6,10.82,7.53,0.0,83.73,0.0,83.73,0,0.0,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,2,45,2,2,1200,1000.9,7.53,8.2,0.0,90.34,6.61,83.73,0,0.0,3,1850,0.0,95.49,83.73,0.0,0.0,0
Proposed,bigbuckbunny,2,46,1,1,750,858.9,8.2,9.3,0.0,83.73,6.61,77.12,0,0.0,3,1850,0.926,95.49,91.51,-14.39,-0.926,0
Proposed,bigbuckbunny,2,47,1,1,750,1103.0,9.3,11.72,0.0,83.73,0.0,83.73,0,0.0,3,1850,0.0,95.49,95.49,-11.759999999999991,0.0,0
Proposed,bigbuckbunny,3,0,1,1,750,1070.0,1.09,4.0,4.174,83.73,0.0,65.78,0,0.0,1,750,4.174,83.73,65.78,0.0,0.0,1
Proposed,bigbuckbunny,3,1,1,1,750,1465.1,4.0,5.92,0.0,83.73,0.0,83.73,0,0.0,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,3,2,1,1,750,835.4,5.92,5.35,0.0,83.73,0.0,83.73,0,0.0,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,3,3,1,1,750,338.2,5.35,4.0,1.481,83.73,0.0,77.36,0,0.0,1,750,1.481,83.73,77.36,0.0,0.0,1
Proposed,bigbuckbunny,3,4,1,1,750,799.4,4.0,4.0,2.381,83.73,0.0,73.49,0,0.0,1,750,2.381,83.73,73.49,0.0,0.0,1
Proposed,bigbuckbunny,3,5,1,1,750,852.7,4.0,5.22,0.0,83.73,0.0,83.73,0,0.0,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,3,6,1,1,750,608.4,5.22,4.65,0.0,83.73,0.0,83.73,0,0.0,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,3,7,1,1,750,376.5,4.65,4.0,3.674,83.73,0.0,67.93,0,0.0,1,750,3.674,83.73,67.93,0.0,0.0,1
Proposed,bigbuckbunny,3,8,1,1,750,1048.2,4.0,4.0,0.953,83.73,0.0,79.63,0,0.0,1,750,0.953,83.73,79.63,0.0,0.0,1
Proposed,bigbuckbunny,3,9,1,1,750,869.5,4.0,5.11,0.0,83.73,0.0,83.73,0,0.0,1,750,0.0,83.73,83.73,0.0,0.0,1
