Method,Video,Episode,Chunk,Action,Applied_Action,Bitrate_kbps,Throughput_kbps,Buffer_Before,Buffer_After,Rebuffer_s,VMAF,Smooth_Penalty,Step_QoE,Shield_Intervened,Shield_Rate
Proposed,bigbuckbunny,2,31,2,2,1200,1126.0,16.87,17.91,0.0,90.34,0.0,90.34,0,0.0
Proposed,bigbuckbunny,2,32,2,2,1200,892.4,17.91,16.27,0.0,90.34,0.0,90.34,0,0.0
Proposed,bigbuckbunny,2,33,2,2,1200,941.8,16.27,17.36,0.0,90.34,0.0,90.34,0,0.0
Proposed,bigbuckbunny,2,34,2,2,1200,463.6,17.36,9.98,0.0,90.34,0.0,90.34,0,0.0
Proposed,bigbuckbunny,2,35,2,2,1200,1052.0,9.98,8.47,0.0,90.34,0.0,90.34,0,0.0
Proposed,bigbuckbunny,2,36,0,0,300,355.7,8.47,6.27,0.0,66.58,23.76,42.82,0,0.0
Proposed,bigbuckbunny,2,37,1,1,750,952.1,6.27,7.36,0.0,83.73,17.15,66.58,0,0.0
Proposed,bigbuckbunny,2,38,1,1,750,1023.8,7.36,7.59,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,2,39,1,1,750,960.6,7.59,9.28,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,2,40,1,1,750,955.9,9.28,5.72,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,2,41,2,2,1200,880.2,5.72,4.42,0.0,90.34,6.61,83.73,0,0.0
Proposed,bigbuckbunny,2,42,1,1,750,1063.0,4.42,4.97,0.0,83.73,6.61,77.12,0,0.0
Proposed,bigbuckbunny,2,43,1,1,750,934.7,4.97,5.38,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,2,44,1,1,750,994.6,5.38,5.14,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,2,45,1,1,750,1000.9,5.14,7.26,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,2,46,1,1,750,858.9,7.26,9.18,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,2,47,1,1,750,1103.0,9.18,11.37,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,3,0,0,0,300,1070.0,1.09,4.0,0.865,66.58,0.0,62.86,0,0.0
Proposed,bigbuckbunny,3,1,1,1,750,1465.1,4.0,5.87,0.0,83.73,17.15,66.58,0,0.0
Proposed,bigbuckbunny,3,2,1,1,750,835.4,5.87,7.32,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,3,3,1,1,750,338.2,7.32,5.9,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,3,4,0,0,300,799.4,5.9,7.68,0.0,66.58,17.15,49.43,0,0.0
Proposed,bigbuckbunny,3,5,1,1,750,852.7,7.68,9.55,0.0,83.73,17.15,66.58,0,0.0
Proposed,bigbuckbunny,3,6,1,1,750,608.4,9.55,10.22,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,3,7,1,1,750,376.5,10.22,8.33,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,3,8,1,1,750,1048.2,8.33,9.13,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,3,9,1,1,750,869.5,9.13,10.79,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,3,10,1,1,750,861.3,10.79,13.24,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,3,11,1,1,750,846.7,13.24,15.4,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,3,12,1,1,750,598.8,15.4,12.1,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,3,13,2,2,1200,608.7,12.1,9.76,0.0,90.34,6.61,83.73,0,0.0
Proposed,bigbuckbunny,3,14,2,2,1200,797.1,9.76,7.3,0.0,90.34,0.0,90.34,0,0.0
Proposed,bigbuckbunny,3,15,2,2,1200,1016.9,7.3,6.4,0.0,90.34,0.0,90.34,0,0.0
Proposed,bigbuckbunny,3,16,1,1,750,1018.2,6.4,4.73,0.0,83.73,6.61,77.12,0,0.0
Proposed,bigbuckbunny,3,17,1,1,750,1221.8,4.73,7.05,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,3,18,1,1,750,1244.0,7.05,7.5,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,3,19,1,1,750,967.8,7.5,7.84,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,3,20,1,1,750,1259.1,7.84,7.72,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,3,21,1,1,750,1059.4,7.72,9.49,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,3,22,1,1,750,1076.0,9.49,10.67,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,3,23,1,1,750,1209.8,10.67,12.55,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,3,24,1,1,750,901.4,12.55,12.05,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,3,25,2,2,1200,854.8,12.05,12.42,0.0,90.34,6.61,83.73,0,0.0
Proposed,bigbuckbunny,3,26,2,2,1200,839.1,12.42,11.75,0.0,90.34,0.0,90.34,0,0.0
Proposed,bigbuckbunny,3,27,2,2,1200,1088.7,11.75,13.99,0.0,90.34,0.0,90.34,0,0.0
Proposed,bigbuckbunny,3,28,1,1,750,1224.0,13.99,15.23,0.0,83.73,6.61,77.12,0,0.0
Proposed,bigbuckbunny,3,29,3,3,1850,1011.0,15.23,15.6,0.0,95.49,11.76,83.73,0,0.0
Proposed,bigbuckbunny,3,30,2,2,1200,1048.2,15.6,17.17,0.0,90.34,5.15,85.19,0,0.0
Proposed,bigbuckbunny,3,31,2,2,1200,1045.6,17.17,17.98,0.0,90.34,0.0,90.34,0,0.0
Proposed,bigbuckbunny,3,32,2,2,1200,876.3,17.98,16.24,0.0,90.34,0.0,90.34,0,0.0
Proposed,bigbuckbunny,3,33,2,2,1200,824.0,16.24,16.91,0.0,90.34,0.0,90.34,0,0.0
Proposed,bigbuckbunny,3,34,2,2,1200,1157.6,16.91,16.35,0.0,90.34,0.0,90.34,0,0.0
Proposed,bigbuckbunny,3,35,2,2,1200,894.8,16.35,13.87,0.0,90.34,0.0,90.34,0,0.0
Proposed,bigbuckbunny,3,36,2,2,1200,1077.9,13.87,9.69,0.0,90.34,0.0,90.34,0,0.0
Proposed,bigbuckbunny,3,37,2,2,1200,1041.8,9.69,9.44,0.0,90.34,0.0,90.34,0,0.0
Proposed,bigbuckbunny,3,38,1,1,750,1157.7,9.44,10.1,0.0,83.73,6.61,77.12,0,0.0
Proposed,bigbuckbunny,3,39,1,1,750,1092.3,10.1,12.07,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,3,40,1,1,750,948.7,12.07,8.46,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,3,41,2,2,1200,1176.1,8.46,8.48,0.0,90.34,6.61,83.73,0,0.0
Proposed,bigbuckbunny,3,42,1,1,750,954.2,8.48,8.65,0.0,83.73,6.61,77.12,0,0.0
Proposed,bigbuckbunny,3,43,1,1,750,1010.0,8.65,9.32,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,3,44,1,1,750,904.9,9.32,8.66,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,3,45,2,2,1200,896.6,8.66,9.31,0.0,90.34,6.61,83.73,0,0.0
Proposed,bigbuckbunny,3,46,2,2,1200,742.8,9.31,9.45,0.0,90.34,0.0,90.34,0,0.0
Proposed,bigbuckbunny,3,47,2,2,1200,427.9,9.45,6.02,0.0,90.34,0.0,90.34,0,0.0
