step,mean_action,action_distribution,action_variance,action_entropy
7320000,1.62,0.125;0.500;0.125;0.125;0.125;0.000,1.48,1.386
7360000,1.00,0.375;0.500;0.000;0.000;0.125;0.000,1.50,0.974
7400000,2.00,0.000;0.375;0.375;0.125;0.125;0.000,1.00,1.255
7440000,1.00,0.375;0.250;0.375;0.000;0.000;0.000,0.75,1.082
7480000,1.62,0.250;0.250;0.125;0.375;0.000;0.000,1.48,1.321
7520000,1.88,0.125;0.375;0.125;0.250;0.125;0.000,1.61,1.494
7560000,2.12,0.000;0.250;0.500;0.125;0.125;0.000,0.86,1.213
7600000,1.88,0.000;0.500;0.250;0.125;0.125;0.000,1.11,1.213
7640000,3.25,0.000;0.125;0.250;0.250;0.000;0.375,2.19,1.321
7680000,1.62,0.125;0.500;0.000;0.375;0.000;0.000,1.23,0.974
7720000,1.75,0.125;0.250;0.500;0.000;0.125;0.000,1.19,1.213
7760000,2.25,0.125;0.250;0.125;0.250;0.250;0.000,1.94,1.560
7800000,2.12,0.125;0.125;0.375;0.250;0.125;0.000,1.36,1.494
7840000,2.38,0.000;0.250;0.125;0.625;0.000;0.000,0.73,0.900
7880000,2.25,0.000;0.250;0.375;0.250;0.125;0.000,0.94,1.321
7920000,2.12,0.000;0.250;0.625;0.000;0.000;0.125,1.36,0.900
7960000,1.62,0.000;0.500;0.375;0.125;0.000;0.000,0.48,0.974
8000000,2.75,0.000;0.125;0.250;0.375;0.250;0.000,0.94,1.321
