video,chunk,bitrate_kbps,vmaf
tearsofsteel_short,27,750,83.8558
tearsofsteel_short,27,1200,91.2059
tearsofsteel_short,27,1850,94.8987
tearsofsteel_short,27,2850,96.6666
tearsofsteel_short,27,6000,98.0098
tearsofsteel_short,28,300,71.1168
tearsofsteel_short,28,750,88.7838
tearsofsteel_short,28,1200,94.5843
tearsofsteel_short,28,1850,96.6807
tearsofsteel_short,28,2850,98.085
tearsofsteel_short,28,6000,98.8044
tearsofsteel_short,29,300,72.1581
tearsofsteel_short,29,750,87.239
tearsofsteel_short,29,1200,92.7018
tearsofsteel_short,29,1850,95.4946
tearsofsteel_short,29,2850,96.6453
tearsofsteel_short,29,6000,97.3564
tearsofsteel_short,30,300,75.6769
tearsofsteel_short,30,750,90.4285
tearsofsteel_short,30,1200,94.8683
tearsofsteel_short,30,1850,97.7604
tearsofsteel_short,30,2850,98.9642
tearsofsteel_short,30,6000,99.4663
tearsofsteel_short,31,300,75.0758
tearsofsteel_short,31,750,92.1431
tearsofsteel_short,31,1200,96.8592
tearsofsteel_short,31,1850,98.5684
tearsofsteel_short,31,2850,99.5523
tearsofsteel_short,31,6000,99.881
tearsofsteel_short,32,300,72.9806
tearsofsteel_short,32,750,89.1406
tearsofsteel_short,32,1200,94.3763
tearsofsteel_short,32,1850,96.3682
tearsofsteel_short,32,2850,97.8492
tearsofsteel_short,32,6000,98.8682
tearsofsteel_short,33,300,72.2842
tearsofsteel_short,33,750,87.5643
tearsofsteel_short,33,1200,92.7268
tearsofsteel_short,33,1850,95.239
tearsofsteel_short,33,2850,96.2409
tearsofsteel_short,33,6000,96.9177
tearsofsteel_short,34,300,68.7034
tearsofsteel_short,34,750,85.3945
tearsofsteel_short,34,1200,91.9127
tearsofsteel_short,34,1850,95.6149
tearsofsteel_short,34,2850,96.4462
tearsofsteel_short,34,6000,96.7329
tearsofsteel_short,35,300,74.1899
tearsofsteel_short,35,750,88.5443
tearsofsteel_short,35,1200,93.5992
tearsofsteel_short,35,1850,96.2441
tearsofsteel_short,35,2850,97.1982
tearsofsteel_short,35,6000,97.7555
tearsofsteel_short,36,300,75.5759
tearsofsteel_short,36,750,90.618
tearsofsteel_short,36,1200,95.3592
tearsofsteel_short,36,1850,97.2818
tearsofsteel_short,36,2850,98.1646
tearsofsteel_short,36,6000,98.7544
tearsofsteel_short,37,300,73.3542
tearsofsteel_short,37,750,88.4421
tearsofsteel_short,37,1200,93.387
